iter	Passed	Remaining
404	8370	1963
405	8392	1943
406	8411	1922
407	8430	1901
408	8450	1880
409	8471	1859
410	8495	1839
411	8514	1818
412	8534	1797
413	8553	1776
414	8575	1756
415	8594	1735
416	8614	1714
417	8633	1693
418	8653	1672
419	8675	1652
420	8695	1631
421	8715	1610
422	8738	1590
423	8760	1570
424	8780	1549
425	8800	1528
426	8819	1507
427	8840	1487
428	8861	1466
429	8881	1445
430	8901	1425
431	8920	1404
432	8940	1383
433	8960	1362
434	8978	1341
435	8998	1320
436	9018	1300
437	9040	1279
438	9061	1259
439	9081	1238
440	9099	1217
441	9119	1196
442	9138	1175
443	9157	1154
444	9178	1134
445	9197	1113
446	9217	1092
447	9237	1072
448	9257	1051
449	9278	1030
450	9299	1010
451	9319	989
452	9339	968
453	9359	948
454	9379	927
455	9399	906
456	9419	886
457	9438	865
458	9456	844
459	9475	823
460	9494	803
461	9514	782
462	9536	762
463	9554	741
464	9574	720
465	9594	700
466	9613	679
467	9635	658
468	9653	638
469	9675	617
470	9695	596
471	9712	576
472	9734	555
473	9752	534
474	9772	514
475	9790	493
476	9810	473
477	9828	452
478	9846	431
479	9865	411
480	9884	390
481	9905	369
482	9925	349
483	9945	328
484	9963	308
485	9983	287
486	10002	267
487	10023	246
488	10047	226
489	10067	205
490	10086	184
491	10106	164
492	10125	143
493	10145	123
494	10164	102
495	10184	82
496	10203	61
497	10227	41
498	10246	20
499	10267	0
