iter	Passed	Remaining
358	9963	6688
359	9989	6659
360	10015	6630
361	10043	6602
362	10069	6574
363	10096	6546
364	10122	6517
365	10149	6489
366	10176	6460
367	10203	6432
368	10228	6403
369	10255	6375
370	10283	6347
371	10309	6318
372	10335	6290
373	10363	6262
374	10389	6233
375	10416	6205
376	10442	6176
377	10468	6148
378	10495	6119
379	10521	6091
380	10548	6063
381	10571	6033
382	10600	6006
383	10629	5979
384	10655	5950
385	10682	5922
386	10710	5895
387	10738	5867
388	10763	5838
389	10789	5809
390	10816	5781
391	10843	5753
392	10868	5724
393	10894	5696
394	10921	5668
395	10946	5638
396	10971	5610
397	10996	5581
398	11021	5552
399	11046	5523
400	11072	5495
401	11100	5467
402	11128	5439
403	11154	5411
404	11181	5383
405	11207	5355
406	11238	5329
407	11268	5302
408	11297	5275
409	11325	5248
410	11351	5220
411	11375	5190
412	11401	5162
413	11428	5134
414	11455	5106
415	11479	5077
416	11506	5049
417	11536	5023
418	11565	4996
419	11590	4967
420	11616	4939
421	11643	4911
422	11671	4883
423	11696	4855
424	11723	4827
425	11750	4799
426	11777	4771
427	11802	4743
428	11828	4714
429	11854	4686
430	11879	4658
431	11907	4630
432	11935	4603
433	11961	4575
434	11988	4547
435	12013	4518
436	12039	4490
437	12065	4462
438	12094	4435
439	12119	4407
440	12144	4378
441	12170	4350
442	12196	4322
443	12222	4294
444	12250	4267
445	12276	4239
446	12305	4211
447	12333	4184
448	12358	4156
449	12386	4128
450	12409	4099
451	12434	4071
452	12459	4043
453	12487	4015
454	12513	3987
455	12542	3960
456	12576	3935
457	12603	3907
458	12630	3879
459	12656	3851
460	12683	3824
461	12711	3796
462	12745	3771
463	12776	3744
464	12803	3717
465	12830	3689
466	12858	3661
467	12885	3634
468	12910	3606
469	12936	3578
470	12962	3550
471	12987	3521
472	13014	3494
473	13039	3466
474	13065	3438
475	13091	3410
476	13118	3382
477	13144	3354
478	13174	3328
479	13201	3300
480	13226	3272
481	13255	3245
482	13283	3217
483	13310	3190
484	13341	3163
485	13373	3136
486	13405	3110
487	13436	3083
488	13464	3056
489	13491	3028
490	13518	3001
491	13544	2973
492	13571	2945
493	13596	2917
494	13621	2889
495	13646	2861
496	13671	2833
497	13699	2805
498	13725	2778
499	13752	2750
500	13776	2722
501	13802	2694
502	13829	2666
503	13856	2639
504	13883	2611
505	13909	2583
506	13933	2555
507	13960	2528
508	13986	2500
509	14012	2472
510	14038	2444
511	14064	2417
512	14089	2389
513	14116	2361
514	14143	2334
515	14170	2306
516	14196	2279
517	14221	2251
518	14245	2223
519	14270	2195
520	14296	2167
521	14325	2140
522	14351	2112
523	14376	2085
524	14402	2057
525	14425	2029
526	14449	2001
527	14474	1973
528	14500	1946
529	14525	1918
530	14551	1890
531	14575	1862
532	14599	1835
533	14625	1807
534	14651	1780
535	14677	1752
536	14703	1724
537	14728	1697
538	14754	1669
539	14782	1642
540	14807	1614
541	14831	1587
542	14862	1560
543	14887	1532
544	14915	1505
545	14939	1477
546	14964	1449
547	14990	1422
548	15016	1394
549	15044	1367
550	15071	1340
551	15097	1312
552	15123	1285
553	15148	1257
554	15176	1230
555	15205	1203
556	15234	1176
557	15266	1149
558	15292	1121
559	15319	1094
560	15350	1067
561	15380	1039
562	15412	1012
563	15438	985
564	15465	958
565	15491	930
566	15516	903
567	15544	875
568	15574	848
569	15598	820
570	15623	793
571	15649	766
572	15674	738
573	15700	711
574	15726	683
575	15741	655
576	15767	628
577	15791	601
578	15818	573
579	15843	546
580	15867	518
581	15894	491
582	15922	464
583	15946	436
584	15973	409
585	15998	382
586	16026	354
587	16055	327
588	16081	300
589	16106	272
590	16131	245
591	16156	218
592	16181	191
593	16207	163
594	16233	136
595	16259	109
596	16284	81
597	16311	54
598	16334	27
599	16361	0
